Site.Code,Site,Subsite,Sampling.Time,Month,Data.Entered.by,Plot.ID,unique.ID,Prior.to.change,Previous.Spellings,Other.notes,Original.Species,Juvenile,Subspecies,Species,Subgenus,Genus,Tribe,Subfamily,Family,Superfamily,Subsection,Section,Parvorder,Infraorder,Suborder,Order,Superorder,Infraclass,Subclass,Class,Group,Taxa,Type.Partner,Type,Total.Abundance,Notes,Total.Abundance.to.1.mm,Measured.size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Mesured.Size,Dry.Mass.g,individuals/SizeCount,DW.(g),Vegetative.or.Flower,Shoot.ID
IR,IR.B,B,1,July,"Blaze,J.",10,IR.B.1.10,Chaetogammarus.marinus,NA,NA,Chaetogammarus.marinus,N,NA,Echinogammarus.marinus,NA,Echinogammarus,NA,NA,Gammaridae,Gammaroidea,NA,NA,Gammaridira,Gammarida,Senticaudata,Amphipoda,Peracarida,NA,Eumalacostraca,Malacostraca,Gammarid,Crustacean.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR,IR.A,A,1,June,"Blaze,J.",19,IR.A.1.19,Chaetogammarus.marinus,NA,NA,Chaetogammarus.marinus,N,NA,Echinogammarus.marinus,NA,Echinogammarus,NA,NA,Gammaridae,Gammaroidea,NA,NA,Gammaridira,Gammarida,Senticaudata,Amphipoda,Peracarida,NA,Eumalacostraca,Malacostraca,Gammarid,Crustacean.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR,IR.A,A,1,June,"Blaze,J.",13,IR.A.1.13,Chaetogammarus.marinus,NA,NA,Chaetogammarus.marinus,N,NA,Echinogammarus.marinus,NA,Echinogammarus,NA,NA,Gammaridae,Gammaroidea,NA,NA,Gammaridira,Gammarida,Senticaudata,Amphipoda,Peracarida,NA,Eumalacostraca,Malacostraca,Gammarid,Crustacean.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",17,NC.A.1.17,Chione.grus,NA,NA,Chione.grus,N,NA,Chioneryx.grus,NA,Chioneryx,NA,NA,Veneridae,Veneroidea,NA,NA,NA,NA,NA,Venerida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC,NC.A,A,1,May,"Deaton,CD",15,NC.A.1.15,Chione.grus,NA,NA,Chione.grus,N,NA,Chioneryx.grus,NA,Chioneryx,NA,NA,Veneridae,Veneroidea,NA,NA,NA,NA,NA,Venerida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,1,ID.somewhat.doubtful,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SD,SD.B,B,1,June,SH,8,SD.B.1.8,chione.undulata,chione.undulata,changed,Chione.undatella,N,NA,Chione.undatella,NA,Chione,NA,NA,Veneridae,Veneroidea,NA,NA,NA,NA,NA,Venerida,Imparidentia,Euheterodonta,Heterodonta,Bivalvia,Bivalve,Sessile.FALSE,FALSE,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,9,SW.B.1.9,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,19,see.size.(TL),9,7,4,6,4,3,4,3,5,7,5,NA,10,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,8,SW.B.1.8,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,10,see.size.(TL),5,3,4,6,5,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,7,SW.B.1.7,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,18,see.size.(TL),9,6,4,6,4,3,3,3,3,4,NA,NA,9,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,6,SW.B.1.6,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,14,see.size.(TL),7,6,5,4,3,4,5,7,NA,NA,NA,NA,7,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,4,SW.B.1.4,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,2,see.size.(TL),1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,18,SW.B.1.18,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,16,see.size.(TL),8,4,5,4,7,6,6,5,7,NA,NA,NA,8,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,17,SW.B.1.17,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,4,see.size.(TL),2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,16,SW.B.1.16,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,2,see.size.(TL),1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,15,SW.B.1.15,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,6,see.size.(TL),3,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,14,SW.B.1.14,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,6,see.size.(TL),3,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,13,SW.B.1.13,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,18,see.size.(TL),9,10,7,6,6,4,7,5,4,4,NA,NA,9,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,12,SW.B.1.12,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,4,see.size.(TL),2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,11,SW.B.1.11,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,4,see.size.(TL),2,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
SW,SW.B,B,1,August,Jonas.Thormar,10,SW.B.1.10,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,19,see.size.(TL),9,12,6,4,6,5,3,5,7,4,5,NA,10,NA,NA,NA
SW,SW.A,A,1,August,Jonas.Thormar,18,SW.A.1.18,Chironomid.larvae,NA,NA,Chironomid.larvae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,7,FR.B.1.7,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,7,FR.B.1.7,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,20,FR.B.1.20,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,2,FR.B.1.2,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,2,FR.B.1.2,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,19,FR.B.1.19,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,19,FR.B.1.19,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,18,FR.B.1.18,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,18,FR.B.1.18,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,13,FR.B.1.13,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,13,FR.B.1.13,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,1,FR.B.1.1,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,1,FR.B.1.1,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FI,FI.B,B,1,August,CAB,19,FI.B.1.19,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FI,FI.B,B,1,August,CAB,16,FI.B.1.16,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FI,FI.A,A,1,June,CAB,8,FI.A.1.8,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FI,FI.A,A,1,June,CAB,3,FI.A.1.3,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FI,FI.A,A,1,June,CAB,20,FI.A.1.20,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FI,FI.A,A,1,June,CAB,14,FI.A.1.14,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FI,FI.A,A,1,June,CAB,12,FI.A.1.12,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FI,FI.A,A,1,June,CAB,11,FI.A.1.11,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FI,FI.A,A,1,June,CAB,10,FI.A.1.10,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FI,FI.A,A,1,June,CAB,1,FI.A.1.1,Chironomidae,NA,NA,Chironomidae,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Insect,Insect.FALSE,FALSE,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.B,B,1,August,Pozhilova,8,RU.B.1.8,Chironomidae.larv.,NA,NA,Chironomidae.larv.,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.B,B,1,August,Pozhilova,7,RU.B.1.7,Chironomidae.larv.,NA,NA,Chironomidae.larv.,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,FALSE,FALSE,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.B,B,1,August,Pozhilova,15,RU.B.1.15,Chironomidae.larv.,NA,NA,Chironomidae.larv.,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.B,B,1,August,Pozhilova,1,RU.B.1.1,Chironomidae.larv.,NA,NA,Chironomidae.larv.,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,FALSE,FALSE,9,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,16,RU.A.1.16,Chironomidae.larv.,NA,NA,Chironomidae.larv.,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,FALSE,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RU,RU.A,A,1,August,Pozhilova,14,RU.A.1.14,Chironomidae.larv.,NA,NA,Chironomidae.larv.,N,NA,NA,NA,NA,NA,NA,Chironomidae,NA,NA,NA,NA,Culicomorpha,Nematocera,Diptera,NA,NA,Pterygota,Insecta,Chironomid,Insect.FALSE,FALSE,FALSE,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PO,PO.A,A,1,August,MOREAU.Chlo_,3,PO.A.1.3,Chitonida,NA,NA,Chitonida,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chitonida,NA,NA,Neoloricata,Polyplacophora,Chiton,Mollusc.Mesograzer,Mesograzer,Mesograzer,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,2,FR.B.1.2,Chtalamus.depressus,Chtalamus.depressus,NA,Chthamalus.depressus,N,NA,Euraphia.depressa,NA,Euraphia,NA,Euraphiinae,Chthamalidae,Chthamaloidea,NA,NA,NA,NA,Balanomorpha,Sessilia,Thoracica,Cirripedia,Thecostraca,NA,Barnacle,Sessile.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,2,FR.B.1.2,Chtalamus.depressus,Chtalamus.depressus,NA,Chthamalus.depressus,N,NA,Euraphia.depressa,NA,Euraphia,NA,Euraphiinae,Chthamalidae,Chthamaloidea,NA,NA,NA,NA,Balanomorpha,Sessilia,Thoracica,Cirripedia,Thecostraca,NA,Barnacle,Sessile.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,9,FR.B.1.9,Cirratulidae,NA,NA,Cirratulidae,N,NA,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA,NA,NA,Cirratuliformia,Terebellida,NA,Canalipalpata,Sedentaria,Polychaeta,Polychaete,Polychaete.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,9,FR.B.1.9,Cirratulidae,NA,NA,Cirratulidae,N,NA,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA,NA,NA,Cirratuliformia,Terebellida,NA,Canalipalpata,Sedentaria,Polychaeta,Polychaete,Polychaete.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,7,FR.B.1.7,Cirratulidae,NA,NA,Cirratulidae,N,NA,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA,NA,NA,Cirratuliformia,Terebellida,NA,Canalipalpata,Sedentaria,Polychaeta,Polychaete,Polychaete.FALSE,NA,FALSE,10,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,7,FR.B.1.7,Cirratulidae,NA,NA,Cirratulidae,N,NA,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA,NA,NA,Cirratuliformia,Terebellida,NA,Canalipalpata,Sedentaria,Polychaeta,Polychaete,Polychaete.FALSE,NA,FALSE,10,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,3,FR.B.1.3,Cirratulidae,NA,NA,Cirratulidae,N,NA,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA,NA,NA,Cirratuliformia,Terebellida,NA,Canalipalpata,Sedentaria,Polychaeta,Polychaete,Polychaete.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,3,FR.B.1.3,Cirratulidae,NA,NA,Cirratulidae,N,NA,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA,NA,NA,Cirratuliformia,Terebellida,NA,Canalipalpata,Sedentaria,Polychaeta,Polychaete,Polychaete.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,19,FR.B.1.19,Cirratulidae,NA,NA,Cirratulidae,N,NA,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA,NA,NA,Cirratuliformia,Terebellida,NA,Canalipalpata,Sedentaria,Polychaeta,Polychaete,Polychaete.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,19,FR.B.1.19,Cirratulidae,NA,NA,Cirratulidae,N,NA,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA,NA,NA,Cirratuliformia,Terebellida,NA,Canalipalpata,Sedentaria,Polychaeta,Polychaete,Polychaete.FALSE,NA,FALSE,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,17,FR.B.1.17,Cirratulidae,NA,NA,Cirratulidae,N,NA,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA,NA,NA,Cirratuliformia,Terebellida,NA,Canalipalpata,Sedentaria,Polychaeta,Polychaete,Polychaete.FALSE,NA,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,17,FR.B.1.17,Cirratulidae,NA,NA,Cirratulidae,N,NA,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA,NA,NA,Cirratuliformia,Terebellida,NA,Canalipalpata,Sedentaria,Polychaeta,Polychaete,Polychaete.FALSE,NA,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,FR.B,B,1,June,NV/NN,16,FR.B.1.16,Cirratulidae,NA,NA,Cirratulidae,N,NA,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA,NA,NA,Cirratuliformia,Terebellida,NA,Canalipalpata,Sedentaria,Polychaeta,Polychaete,Polychaete.FALSE,NA,FALSE,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
